User ID,Accuracy (All),F1 Score (All),Accuracy (Opportune),F1 Score (Opportune),Opportune Moments Count
1,0.8282828282828283,0.8011399807535717,0.4444444444444444,0.3418803418803419,42
2,0.8787878787878788,0.8738718908210433,0.6,0.5599999999999999,48
3,0.7777777777777778,0.7710503954058907,1.0,1.0,39
4,0.797979797979798,0.7594826852718455,0.8888888888888888,0.8366013071895425,45
5,0.7373737373737373,0.7130893797560466,0.625,0.625,39
6,0.8181818181818182,0.8023298680232985,0.8333333333333334,0.763888888888889,56
7,0.7777777777777778,0.7506258234519103,0.3333333333333333,0.16666666666666666,12
8,0.9191919191919192,0.9166776967829098,0.8181818181818182,0.75,51
9,0.7373737373737373,0.7376722634669481,1.0,1.0,36
10,0.7878787878787878,0.772915972915973,0.8181818181818182,0.8116883116883117,53
11,0.797979797979798,0.7739209133945975,0.5,0.4444444444444444,27
12,0.8484848484848485,0.8347431866493451,1.0,1.0,27
13,0.797979797979798,0.7747715247715248,0.75,0.7083333333333334,39
14,0.797979797979798,0.7752479154450678,0.9333333333333333,0.9178571428571428,149
15,0.7676767676767676,0.7289834348657879,0.9,0.9066666666666666,49
16,0.8282828282828283,0.8210257175774417,0.7272727272727273,0.7090909090909091,51
17,0.7777777777777778,0.7724488155522639,0.8888888888888888,0.8412698412698413,44
18,0.8686868686868687,0.8445862130072656,1.0,1.0,46
19,0.9292929292929293,0.9078792980308131,1.0,1.0,36
20,0.7575757575757576,0.7072821693074859,0.5,0.375,19
21,0.7676767676767676,0.7572608368062913,1.0,1.0,12
22,0.7676767676767676,0.7443902108331639,0.7272727272727273,0.7950089126559714,53
23,0.8585858585858586,0.855746615166905,0.8571428571428571,0.7912087912087912,32
24,0.9090909090909091,0.905050505050505,0.9,0.9473684210526315,48
25,0.7878787878787878,0.775197628458498,0.5,0.3333333333333333,37
26,0.8080808080808081,0.800888950621571,1.0,1.0,40
27,0.8888888888888888,0.8897434332336366,0.7777777777777778,0.7777777777777778,42
28,0.8383838383838383,0.8197285648266041,0.8571428571428571,0.8634920634920634,33
29,0.8888888888888888,0.8657081590042484,1.0,1.0,28
30,0.8282828282828283,0.8099319727891156,0.8666666666666667,0.8647173489278752,75
